"ORG_ID","ORG_URL","ORG_DESCRIPTIONDU","ORG_DATECREATION","ORG_CODEDU","ORG_CODEFR","ORG_DATEUPDATE","ORG_USERCREATION","ORG_DESCRIPTIONEN","ORG_CODEEN","ORG_USERUPDATE","ORG_DESCRIPTIONFR","ORG_ORGT_ID"
65,"","SOCIÉTÉ BRUXELLOISE DE GESTION DE L'EAU",28/07/08,"SOCIÉTÉ BRUXELLOISE DE GESTION DE L'EAU","SBGE",,"PGERARD","SOCIÉTÉ BRUXELLOISE DE GESTION DE L'EAU","SOCIÉTÉ BRUXELLOISE DE GESTION DE L'EAU","","SOCIÉTÉ BRUXELLOISE DE GESTION DE L'EAU",
68,"","BRUSSELS INTERNATIONAL - TOURISME & CONGRÈS",24/07/09,"BITC","BITC",,"PGERARD","BRUSSELS INTERNATIONAL - TOURISME & CONGRÈS","BITC","","BRUSSELS INTERNATIONAL - TOURISME & CONGRÈS",
69,"http://www.abe-bao.be/Content/Other/Contact.aspx","BRUSSELS ENTERPRISE AGENCY (BEA)",29/07/09,"BRUSSELS ENTERPRISE AGENCY (BEA) (BAO","AGENCE BRUXELLOISE POUR L'ENTREPRISE (ABE)",29/07/09,"PGERARD","BRUSSELS ENTERPRISE AGENCY","BRUSSELS ENTERPRISE AGENCY (BEA)","PGERARD","AGENCE BRUXELLOISE POUR L'ENTREPRISE",
70,"http://visitbrussels.be","VISIT BRUSSELS",12/01/12,"VISIT BRUSSELS","VISIT BRUSSELS",,"PGERARD","VISIT BRUSSELS","VISIT BRUSSELS","","VISIT BRUSSELS",
45,"www.anderlecht.be","GEMEENTE ANDERLECHT",13/02/07,"GEMEENTE ANDERLECHT","COMMUNE D'ANDERLECHT",25/04/07,"PGERARD","MUNICIPALITY OF ANDERLECHT","MUNICIPALITY OF ANDERLECTH","GDEROEP","COMMUNE D'ANDERLECHT",
46,"www.stjosse.irisnet.be","GEMEENTE SINT- JOS-TEN-NOODE",13/02/07,"GEMEENTE SINT- JOOST-TEN-NOODE","COMMUNE DE SAINT- JOSSE-TEN-NOODE",25/04/07,"PGERARD","MUNICIPALITY OF SAINT-JOSSE-TEN-NOODE","MUNICIPALITY OF  SAINT-JOSSE-TEN-NOODE","GDEROEP","COMMUNE DE SAINT-JOSSE-TEN-NOODE",
47,"www.schaerbeek.irisnet.be","GEMEENTE SCHAARBEEK",13/02/07,"GEMEENTE SCHAARBEEK","COMMUNE DE SCHAERBEEK",25/04/07,"PGERARD","MUNICIPALITY OF SCHAARBEEK","MUNICIPALITY OF SCHAERBEEK","GDEROEP","COMMUNE DE SCHAERBEEK",
48,"www.uccle.irisnet.be","GEMEENTE UKKEL",13/02/07,"GEMEENTE UKKEL","COMMUNE D'UCCLE",25/04/07,"PGERARD","MUNICIPALITY OF UCCLE","MUNICIPALITY OF UCCLE","GDEROEP","COMMUNE D'UCCLE",
49,"www.watermael-boitsfort.irisnet.be","GEMEENTE WATERMAAL-BOSVOORDE",13/02/07,"GEMEENTE WATERMAAL-BOSVOORDE","COMMUNE DE WATERMAEL-BOITSFORT",25/04/07,"PGERARD","MUNICIPALITY OF WATERMAEL-BOSVOORDE","MUNICIPALITY OF WATERMAEL-BOITSFORT","GDEROEP","COMMUNE DE WATERMAEL-BOITSFORT",
50,"www.woluwe1200.be","GEMEENTE SINT-LAMBRECHTS-WOLUWE",13/02/07,"GEMEENTE SINT-LAMBRECHTS-WOLUWE","COMMUNE DE WOLUWE- SAINT- LAMBERT",25/04/07,"PGERARD","MUNICIPALITY OF WOLUWE- SAINT- LAMBERT","MUNICIPALITY WOLUWE- SAINT- LAMBERT","GDEROEP","COMMUNE DE WOLUWE- SAINT- LAMBERT",
