"PRJ_ID","PRJ_CTC_USERUPDATE","PRJ_CTC_DATECREATION","PRJ_CTC_DATEUPDATE","PRJ_CTC_USERCREATION","CTC_ID","PRJ_CTC_CEL_ID","PRJ_CTC_ORG_ID","PRJ_CTC_FCT_ID"
443,"",24/07/09,,"PGERARD",197,,37,
443,"",24/07/09,,"PGERARD",101,15,30,14
442,"",24/07/09,,"PGERARD",149,23,36,
442,"",24/07/09,,"PGERARD",101,15,30,14
431,"",27/07/09,,"PGERARD",136,24,36,
408,"",27/07/09,,"PGERARD",211,58,40,39
444,"",24/07/09,,"PGERARD",246,,68,
444,"",24/07/09,,"PGERARD",101,15,30,14
464,"",12/01/12,,"PGERARD",107,15,30,14
434,"",27/07/09,,"PGERARD",136,24,36,
173,"",29/07/09,,"PGERARD",210,15,30,14
453,"",29/07/09,,"PGERARD",210,15,30,14
452,"",29/07/09,,"PGERARD",250,,69,
178,"",11/01/12,,"PGERARD",197,,37,
449,"",28/07/09,,"PGERARD",249,47,30,47
452,"",29/07/09,,"PGERARD",108,15,30,14
170,"",29/07/09,,"PGERARD",210,15,30,14
167,"",29/07/09,,"PGERARD",153,32,28,
439,"",29/07/09,,"PGERARD",210,15,30,14
168,"",29/07/09,,"PGERARD",210,15,30,14
167,"",29/07/09,,"PGERARD",210,15,30,14
455,"",29/07/09,,"PGERARD",197,,37,
455,"",29/07/09,,"PGERARD",251,28,38,
455,"",29/07/09,,"PGERARD",210,15,30,14
178,"",11/01/12,,"PGERARD",107,15,30,14
470,"",12/01/12,,"PGERARD",252,15,30,14
169,"",11/01/12,,"PGERARD",154,,34,
448,"",12/08/09,,"GDEROEP",143,,36,
166,"",11/01/12,,"PGERARD",148,15,30,
437,"",11/01/12,,"PGERARD",149,23,36,
456,"",29/07/09,,"PGERARD",251,28,38,
456,"",29/07/09,,"PGERARD",210,15,30,14
437,"",11/01/12,,"PGERARD",150,31,38,
437,"",11/01/12,,"PGERARD",101,15,30,14
445,"",12/08/09,,"GDEROEP",247,64,36,46
165,"",11/01/12,,"PGERARD",154,,34,
169,"",11/01/12,,"PGERARD",210,15,30,14
171,"",11/01/12,,"PGERARD",108,15,30,14
466,"",11/01/12,,"PGERARD",108,15,30,14
435,"",12/06/12,,"PGERARD",101,15,30,14
465,"",11/01/12,,"PGERARD",149,23,36,
465,"",11/01/12,,"PGERARD",101,15,30,14
165,"",11/01/12,,"PGERARD",153,32,28,
165,"",11/01/12,,"PGERARD",101,15,30,14
457,"",11/01/12,,"PGERARD",101,15,30,14
166,"",11/01/12,,"PGERARD",151,15,30,
166,"",11/01/12,,"PGERARD",101,15,30,14
163,"",11/01/12,,"PGERARD",149,,36,
163,"",11/01/12,,"PGERARD",150,31,38,
163,"",11/01/12,,"PGERARD",101,15,30,14
468,"",11/01/12,,"PGERARD",180,15,30,14
451,"",11/01/12,,"PGERARD",149,23,36,
451,"",11/01/12,,"PGERARD",108,15,30,14
469,"",11/01/12,,"PGERARD",108,15,30,14
162,"",12/01/12,,"PGERARD",252,15,30,14
110,"",27/06/12,,"GDEROEP",101,15,30,14
186,"",29/07/08,,"PGERARD",237,15,30,14
313,"",06/09/06,,"PGERARD",212,58,40,39
254,"",20/02/06,,"GDEROEP",109,42,37,19
193,"",23/05/06,,"GDEROEP",185,15,30,14
441,"",29/07/09,,"PGERARD",106,15,30,15
192,"",29/07/08,,"PGERARD",237,15,30,14
129,"",29/07/08,,"PGERARD",237,15,30,14
126,"",17/09/09,,"PGERARD",147,,36,
250,"",16/02/06,,"GDEROEP",119,43,37,29
247,"",16/02/06,,"GDEROEP",109,42,37,19
205,"",16/02/06,,"GDEROEP",124,18,32,14
239,"",21/06/05,,"GDEROEP",141,,28,14
231,"",16/02/06,,"GDEROEP",141,,28,14
422,"",30/07/08,,"GDEROEP",155,,31,14
463,"",23/09/11,,"GDEROEP",102,15,30,14
260,"",17/09/09,,"PGERARD",151,15,30,
253,"",16/02/06,,"GDEROEP",121,41,37,28
269,"",23/05/06,,"GDEROEP",174,,41,
277,"",21/02/06,,"GDEROEP",184,,44,
277,"",21/02/06,,"GDEROEP",182,19,32,25
458,"",29/07/09,,"PGERARD",106,15,30,15
424,"",30/07/08,,"GDEROEP",155,,31,14
420,"",30/07/08,,"GDEROEP",155,,31,14
421,"",30/07/08,,"GDEROEP",155,,31,14
251,"",16/02/06,,"GDEROEP",121,41,37,28
385,"",13/08/08,,"GDEROEP",228,,61,41
447,"",27/07/09,,"PGERARD",180,20,32,14
210,"",28/07/09,,"GDEROEP",179,48,32,
212,"",21/02/06,,"GDEROEP",131,22,36,
300,"",03/04/06,,"GDEROEP",167,28,38,25
273,"",21/02/06,,"GDEROEP",176,,,
266,"",21/02/06,,"GDEROEP",175,,35,33
148,"",21/02/06,,"GDEROEP",149,,36,
125,"",17/09/09,,"PGERARD",105,15,30,14
427,"",11/08/08,,"PGERARD",102,15,30,14
160,"",13/01/09,,"PGERARD",107,15,30,14
287,"",18/08/08,,"PGERARD",165,50,39,35
141,"",23/02/06,,"GDEROEP",149,,36,
141,"",23/02/06,,"GDEROEP",107,15,30,14
271,"",23/02/06,,"GDEROEP",176,,42,
114,"",23/02/06,,"GDEROEP",102,,30,14
433,"",19/08/08,,"PGERARD",243,63,36,20
214,"",02/03/06,,"GDEROEP",133,24,36,
252,"",16/02/06,,"GDEROEP",120,44,37,30
147,"",28/07/09,,"PGERARD",149,,36,
157,"",13/01/09,,"PGERARD",108,15,30,14
152,"",13/01/09,,"PGERARD",102,15,30,14
147,"",28/07/09,,"PGERARD",107,15,30,14
242,"",16/02/06,,"GDEROEP",114,38,37,19
143,"",13/01/09,,"PGERARD",102,15,30,14
249,"",16/02/06,,"GDEROEP",111,43,37,27
204,"",16/02/06,,"GDEROEP",123,18,32,18
204,"",16/02/06,,"GDEROEP",128,20,32,19
296,"",13/01/09,,"PGERARD",210,15,30,14
142,"",13/01/09,,"PGERARD",108,15,30,14
213,"",16/02/06,,"GDEROEP",132,,36,
246,"",16/02/06,,"GDEROEP",121,41,37,28
471,"",17/01/12,,"GDEROEP",253,,70,38
248,"",16/02/06,,"GDEROEP",109,42,37,19
226,"",16/02/06,,"GDEROEP",163,,29,19
130,"",25/06/12,,"PGERARD",101,15,30,14
340,"",14/02/07,,"PGERARD",227,,62,40
207,"",16/02/06,,"GDEROEP",124,18,32,14
245,"",16/02/06,,"GDEROEP",116,40,37,27
205,"",16/02/06,,"GDEROEP",123,18,32,18
205,"",16/02/06,,"GDEROEP",126,18,32,14
159,"",13/01/09,,"PGERARD",108,15,30,14
460,"",13/08/09,,"GDEROEP",242,62,36,20
277,"",21/02/06,,"GDEROEP",183,19,32,14
268,"",21/02/06,,"GDEROEP",174,,41,
215,"",13/08/09,,"GDEROEP",248,25,36,
294,"",02/03/06,,"PGERARD",195,,38,20
291,"",02/03/06,,"PGERARD",192,,38,18
418,"",13/08/09,,"GDEROEP",233,,43,15
347,"",14/02/07,,"PGERARD",228,,61,41
126,"",17/09/09,,"PGERARD",105,15,30,14
153,"",18/11/11,,"PGERARD",101,15,30,14
299,"",03/04/06,,"GDEROEP",167,28,38,25
135,"",28/07/09,,"PGERARD",108,15,30,14
220,"",13/02/12,,"GDEROEP",165,50,39,19
210,"",28/07/09,,"GDEROEP",178,47,30,14
146,"",28/07/09,,"PGERARD",107,15,30,14
124,"",17/09/09,,"PGERARD",105,15,30,14
176,"",28/07/09,,"PGERARD",149,,36,
176,"",28/07/09,,"PGERARD",101,15,30,14
175,"",28/07/09,,"PGERARD",151,15,30,
175,"",28/07/09,,"PGERARD",148,15,30,
175,"",28/07/09,,"PGERARD",101,15,30,14
174,"",28/07/09,,"PGERARD",156,33,31,
174,"",28/07/09,,"PGERARD",101,15,30,14
128,"",17/09/09,,"PGERARD",105,15,30,14
463,"",23/09/11,,"GDEROEP",170,15,30,
