"RELT_ID","RELT_CODEFR","RELT_CODEDU","RELT_CODEEN","RELT_NAMEFR","RELT_NAMEDU","RELT_NAMEEN","RELT_USERCREATION","RELT_USERUPDATE","RELT_DATECREATION","RELT_DATEUPDATE"
17,"BILATERAL","BILATERAAL","BILATERAL","BILATERAL","BILATERAAL","BILATERAL","PGERARD","PGERARD",04/05/04,10/08/04
18,"MULTILATERAL","MULTILATERAAL","MULTILATERAL","MULTILATERAL","MULTILATERAAL","MULTILATERAL","PGERARD","PGERARD",04/05/04,17/01/12
